Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-10-18 00:00:00+05:30,176.00895408859282,206.51717279728226,155.02868103177443,155.92047119140625,6900400,0.0,0.0
2007-10-19 00:00:00+05:30,165.2137389364122,168.0298822137374,141.88667972644356,148.31687927246094,761113,0.0,0.0
2007-10-22 00:00:00+05:30,136.11360194319386,166.62182306839247,133.297458454714,152.30642700195312,1319590,0.0,0.0
2007-10-23 00:00:00+05:30,180.28009507558164,180.28009507558164,152.96350156515115,157.14077758789062,508410,0.0,0.0
2007-10-24 00:00:00+05:30,157.6571013660147,159.58146900402795,147.98833890868832,150.66368103027344,263963,0.0,0.0
2007-10-25 00:00:00+05:30,150.19429857269333,152.071727304852,142.73152222709155,143.24781799316406,183326,0.0,0.0
2007-10-26 00:00:00+05:30,146.34558080172516,150.8514131427192,141.13572692871094,141.13572692871094,242482,0.0,0.0
2007-10-29 00:00:00+05:30,150.1943017818817,150.1943017818817,138.225693358638,138.7419891357422,87449,0.0,0.0
2007-10-30 00:00:00+05:30,140.80717387952302,140.80717387952302,131.4200289542215,133.76681518554688,127000,0.0,0.0
2007-10-31 00:00:00+05:30,131.42001587602334,139.30521109912675,129.54258707779445,133.2035675048828,210040,0.0,0.0
2007-11-01 00:00:00+05:30,135.17487392845308,135.17487392845308,123.91030110108198,125.74079132080078,80334,0.0,0.0
2007-11-02 00:00:00+05:30,126.25708010781136,126.25708010781136,118.74736530585976,120.62479400634766,84651,0.0,0.0
2007-11-05 00:00:00+05:30,122.50223115802036,128.0406404770858,108.18683632920956,124.14498138427734,138652,0.0,0.0
2007-11-06 00:00:00+05:30,126.25708654753535,132.07711295116857,117.66784837234596,118.55963134765625,83011,0.0,0.0
2007-11-07 00:00:00+05:30,123.81641975865453,130.3874203531715,113.81911744074014,129.35484313964844,139812,0.0,0.0
2007-11-08 00:00:00+05:30,120.15544280442805,135.17487315498155,120.15544280442805,127.19580078125,97691,0.0,0.0
2007-11-12 00:00:00+05:30,126.25708587187573,127.477417447634,120.24931948549722,124.84901428222656,44300,0.0,0.0
2007-11-13 00:00:00+05:30,126.72644942554076,128.04064391234738,124.84902054516238,125.78773498535156,33179,0.0,0.0
2007-11-14 00:00:00+05:30,126.72644501799469,134.2361602783203,125.78773061045399,134.2361602783203,87600,0.0,0.0
2007-11-15 00:00:00+05:30,134.70551227387926,139.86844131573528,133.8606750692152,137.9910125732422,59769,0.0,0.0
2007-11-16 00:00:00+05:30,133.3443793003007,143.10700303180693,133.3443793003007,137.9910125732422,60700,0.0,0.0
2007-11-19 00:00:00+05:30,137.99102272885227,140.57248743976618,135.36261943119263,138.08489990234375,25277,0.0,0.0
