Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-04-28 00:00:00+05:30,107.45159030614431,118.19674933675874,91.74712710755398,113.03080749511719,6678169,0.0,0.0
2006-05-02 00:00:00+05:30,129.76846805818073,130.59501881014367,118.69269302674283,121.04835510253906,1112178,0.0,0.0
2006-05-03 00:00:00+05:30,120.30447112030333,123.40403661148859,114.10534013793281,115.22117614746094,383205,0.0,0.0
2006-05-04 00:00:00+05:30,114.9318798923797,117.99011502739982,108.69141944730703,109.8899154663086,320967,0.0,0.0
2006-05-05 00:00:00+05:30,113.23744808990176,113.23744808990176,102.94689419832505,104.3520278930664,314377,0.0,0.0
2006-05-08 00:00:00+05:30,104.9719346470048,111.5016798675835,102.65759025833917,108.40211486816406,258174,0.0,0.0
2006-05-09 00:00:00+05:30,108.89804595790332,109.51795893299574,107.36892224114395,107.61688995361328,173772,0.0,0.0
2006-05-10 00:00:00+05:30,107.45160925479337,112.82418971753303,107.45160925479337,108.27816009521484,128259,0.0,0.0
2006-05-11 00:00:00+05:30,103.3188510748089,110.75780835219514,103.3188510748089,107.49293518066406,80532,0.0,0.0
2006-05-12 00:00:00+05:30,107.53425958316188,109.3526687439286,105.79849793160597,106.99699401855469,140154,0.0,0.0
2006-05-15 00:00:00+05:30,108.98072101710886,109.10469858427105,104.97194485001835,105.59185791015625,75405,0.0,0.0
2006-05-16 00:00:00+05:30,106.62504325209045,106.99698855495582,94.22678240882412,105.92247009277344,91652,0.0,0.0
2006-05-17 00:00:00+05:30,107.41026703079474,108.19548771787005,104.97194485001835,105.59185791015625,28950,0.0,0.0
2006-05-18 00:00:00+05:30,106.12910865833373,107.4102648119187,102.49229049218597,104.02140808105469,104391,0.0,0.0
2006-05-19 00:00:00+05:30,104.0214021383121,104.0214021383121,95.05332849380818,97.11970520019531,79146,0.0,0.0
2006-05-22 00:00:00+05:30,96.70642454641543,98.97943879857478,78.52231052914074,95.17730712890625,73575,0.0,0.0
2006-05-23 00:00:00+05:30,87.61438103523548,92.49103180690365,84.43216185319095,91.08589172363281,20142,0.0,0.0
2006-05-24 00:00:00+05:30,88.52359144246658,92.57369171626985,88.52359144246658,91.12722778320312,17420,0.0,0.0
2006-05-25 00:00:00+05:30,90.09402115553986,90.09402115553986,86.8704723483915,87.5317153930664,10378,0.0,0.0
2006-05-26 00:00:00+05:30,89.43279309616837,92.57368862553915,86.78783308644294,91.04457092285156,27949,0.0,0.0
2006-05-29 00:00:00+05:30,92.5736807327076,92.5736807327076,86.9944633671203,88.27561950683594,9451,0.0,0.0
2006-05-30 00:00:00+05:30,87.61438103523548,95.05333791558567,87.61438103523548,91.08589172363281,30527,0.0,0.0
2006-05-31 00:00:00+05:30,88.0276421400217,88.39958740127959,78.5223098901602,85.96126556396484,33113,0.0,0.0
2006-06-01 00:00:00+05:30,86.78781892762291,88.19295252116153,81.20860199656144,83.27497863769531,14003,0.0,0.0
2006-06-02 00:00:00+05:30,81.82852897612142,83.48163057159861,72.73647020099682,77.3238296508789,25089,0.0,0.0
2006-06-05 00:00:00+05:30,77.86107062608923,78.52231368481488,76.04266167371546,76.95186614990234,11685,0.0,0.0
2006-06-06 00:00:00+05:30,79.34886912354227,79.34886912354227,70.25681120313638,70.87672424316406,11652,0.0,0.0
2006-06-07 00:00:00+05:30,67.03326662187465,72.57116060055107,59.13971050067155,60.131568908691406,23670,0.0,0.0
2006-06-08 00:00:00+05:30,53.72578862338429,57.03199100020794,48.435863559250336,50.13029479980469,48643,0.0,0.0
2006-06-09 00:00:00+05:30,49.59303748726824,59.842266495853174,49.510383686005625,57.114646911621094,20755,0.0,0.0
2006-06-12 00:00:00+05:30,57.85855406545588,59.51165561018318,52.899249431273944,53.932437896728516,12530,0.0,0.0
2006-06-13 00:00:00+05:30,52.89924397669507,52.89924397669507,44.7577209696231,49.5103874206543,45403,0.0,0.0
2006-06-14 00:00:00+05:30,52.07269981286045,54.55235218490142,44.71639651458914,48.146583557128906,39589,0.0,0.0
2006-06-15 00:00:00+05:30,48.76649450772458,56.61872667422261,47.93994375335637,53.2298698425293,43396,0.0,0.0
2006-06-16 00:00:00+05:30,56.205448770302404,56.205448770302404,52.072695184250755,53.353851318359375,100340,0.0,0.0
2006-06-19 00:00:00+05:30,49.63436875769157,55.378896736321074,49.63436875769157,54.46969223022461,26497,0.0,0.0
2006-06-20 00:00:00+05:30,54.55234161646416,55.17225458937853,52.15534352664578,53.973758697509766,17242,0.0,0.0
2006-06-21 00:00:00+05:30,53.725796450179224,57.77589621302442,53.725796450179224,56.99066925048828,19719,0.0,0.0
2006-06-22 00:00:00+05:30,57.4452812084172,61.99131065656532,57.4039511455466,57.52793502807617,23048,0.0,0.0
2006-06-23 00:00:00+05:30,55.37889472010565,57.69323911143805,55.37889472010565,57.073326110839844,7584,0.0,0.0
2006-06-26 00:00:00+05:30,52.89924873892716,57.032002546655846,52.196681852829656,52.4859733581543,16931,0.0,0.0
2006-06-27 00:00:00+05:30,53.725798048536916,53.725798048536916,50.9155242740125,52.36198806762695,3516,0.0,0.0
2006-06-28 00:00:00+05:30,50.75021687532901,52.899247545654895,50.75021687532901,51.78340530395508,6134,0.0,0.0
2006-06-29 00:00:00+05:30,52.89924664865839,53.31252201310103,51.742074367002665,52.15534973144531,5558,0.0,0.0
2006-06-30 00:00:00+05:30,54.428370760690235,56.164126238213385,52.56863139775493,55.4615592956543,16004,0.0,0.0
2006-07-03 00:00:00+05:30,54.304388552173165,55.874836435029735,54.304388552173165,55.006961822509766,2844,0.0,0.0
2006-07-04 00:00:00+05:30,53.064546163846934,55.66818182322162,53.064546163846934,54.88296127319336,2441,0.0,0.0
2006-07-05 00:00:00+05:30,55.37890073873021,56.205451496024686,53.56049159511508,54.18040466308594,5019,0.0,0.0
