Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2007-03-19 00:00:00-04:00,85.1500015258789,100.6500015258789,78.1500015258789,78.1500015258789,6599100,0.0,0.0,0.0
2007-03-20 00:00:00-04:00,96.0,98.4000015258789,85.25,86.55000305175781,2166300,0.0,0.0,0.0
2007-03-21 00:00:00-04:00,88.55000305175781,88.55000305175781,78.0,79.0999984741211,482200,0.0,0.0,0.0
2007-03-22 00:00:00-04:00,80.19999694824219,86.5,74.0,79.5,1454200,0.0,0.0,0.0
2007-03-23 00:00:00-04:00,81.0,81.0,67.5,68.5,539100,0.0,0.0,0.0
2007-03-26 00:00:00-04:00,70.0,76.5,67.05000305175781,68.8499984741211,629900,0.0,0.0,0.0
2007-03-27 00:00:00-04:00,68.8499984741211,68.8499984741211,68.8499984741211,68.8499984741211,0,0.0,0.0,0.0
2007-03-28 00:00:00-04:00,65.05000305175781,69.94999694824219,62.75,63.5,186200,0.0,0.0,0.0
2007-03-29 00:00:00-04:00,61.25,65.94999694824219,61.25,61.95000076293945,179500,0.0,0.0,0.0
2007-03-30 00:00:00-04:00,62.900001525878906,63.900001525878906,60.20000076293945,60.400001525878906,94400,0.0,0.0,0.0
2007-04-02 00:00:00-04:00,61.0,61.0,55.75,56.400001525878906,55800,0.0,0.0,0.0
2007-04-03 00:00:00-04:00,56.04999923706055,56.95000076293945,53.099998474121094,53.45000076293945,77500,0.0,0.0,0.0
2007-04-04 00:00:00-04:00,54.0,54.599998474121094,50.599998474121094,50.95000076293945,65300,0.0,0.0,0.0
2007-04-05 00:00:00-04:00,51.0,61.150001525878906,49.20000076293945,61.150001525878906,888400,0.0,0.0,0.0
2007-04-09 00:00:00-04:00,63.900001525878906,66.5,58.599998474121094,61.5,850700,0.0,0.0,0.0
2007-04-10 00:00:00-04:00,62.0,63.45000076293945,60.150001525878906,62.70000076293945,228800,0.0,0.0,0.0
2007-04-11 00:00:00-04:00,63.45000076293945,65.25,62.150001525878906,63.54999923706055,196500,0.0,0.0,0.0
2007-04-12 00:00:00-04:00,62.400001525878906,63.400001525878906,60.099998474121094,60.650001525878906,73000,0.0,0.0,0.0
2007-04-13 00:00:00-04:00,61.29999923706055,62.79999923706055,59.0,59.79999923706055,43000,0.0,0.0,0.0
2007-04-16 00:00:00-04:00,60.400001525878906,71.80000305175781,59.70000076293945,67.30000305175781,653000,0.0,0.0,0.0
2007-04-17 00:00:00-04:00,67.6500015258789,80.0,64.30000305175781,66.69999694824219,691300,0.0,0.0,0.0
2007-04-18 00:00:00-04:00,67.44999694824219,69.4000015258789,64.1500015258789,65.19999694824219,94600,0.0,0.0,0.0
2007-04-19 00:00:00-04:00,67.9000015258789,67.9000015258789,61.04999923706055,64.1500015258789,50000,0.0,0.0,0.0
2007-04-20 00:00:00-04:00,65.1500015258789,73.8499984741211,64.5,66.80000305175781,362200,0.0,0.0,0.0
2007-04-23 00:00:00-04:00,69.0,69.25,65.05000305175781,65.55000305175781,70100,0.0,0.0,0.0
2007-04-24 00:00:00-04:00,66.0,68.9000015258789,65.05000305175781,66.8499984741211,123100,0.0,0.0,0.0
2007-04-25 00:00:00-04:00,66.9000015258789,74.0,65.5999984741211,66.9000015258789,285900,0.0,0.0,0.0
2007-04-26 00:00:00-04:00,68.0,68.4000015258789,64.5999984741211,65.80000305175781,37400,0.0,0.0,0.0
2007-04-27 00:00:00-04:00,66.0,67.4000015258789,63.0,63.79999923706055,42800,0.0,0.0,0.0
2007-04-30 00:00:00-04:00,63.5,65.0,63.04999923706055,63.599998474121094,23100,0.0,0.0,0.0
2007-05-01 00:00:00-04:00,63.599998474121094,63.599998474121094,63.599998474121094,63.599998474121094,0,0.0,0.0,0.0
2007-05-02 00:00:00-04:00,63.599998474121094,63.599998474121094,63.599998474121094,63.599998474121094,0,0.0,0.0,0.0
2007-05-03 00:00:00-04:00,64.5,65.69999694824219,62.20000076293945,63.349998474121094,20400,0.0,0.0,0.0
2007-05-04 00:00:00-04:00,65.4000015258789,65.4000015258789,62.54999923706055,63.150001525878906,24300,0.0,0.0,0.0
2007-05-07 00:00:00-04:00,64.9000015258789,64.9000015258789,62.04999923706055,62.70000076293945,14700,0.0,0.0,0.0
2007-05-08 00:00:00-04:00,63.5,63.75,60.0,60.20000076293945,18200,0.0,0.0,0.0
2007-05-09 00:00:00-04:00,61.95000076293945,62.849998474121094,58.70000076293945,58.900001525878906,18600,0.0,0.0,0.0
2007-05-10 00:00:00-04:00,60.45000076293945,62.099998474121094,59.0,59.150001525878906,33500,0.0,0.0,0.0
2007-05-11 00:00:00-04:00,57.0,59.45000076293945,57.0,58.5,16700,0.0,0.0,0.0
2007-05-14 00:00:00-04:00,60.900001525878906,60.900001525878906,58.5,58.900001525878906,11700,0.0,0.0,0.0
2007-05-15 00:00:00-04:00,59.54999923706055,63.0,58.75,60.349998474121094,66100,0.0,0.0,0.0
2007-05-16 00:00:00-04:00,63.95000076293945,70.0,61.5,61.95000076293945,79200,0.0,0.0,0.0
2007-05-17 00:00:00-04:00,62.400001525878906,64.0,60.0,60.349998474121094,35400,0.0,0.0,0.0
2007-05-18 00:00:00-04:00,59.79999923706055,61.599998474121094,59.5,59.650001525878906,19400,0.0,0.0,0.0
