Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-04-23 00:00:00+05:30,24.610097046395467,24.610097046395467,23.33256748766928,24.061464309692383,1072,0.0,0.0
2007-04-24 00:00:00+05:30,23.54418333552837,23.826337814331055,23.120952813248888,23.826337814331055,800,0.0,0.0
2007-04-25 00:00:00+05:30,23.826337814331055,23.826337814331055,23.826337814331055,23.826337814331055,0,0.0,0.0
2007-04-26 00:00:00+05:30,23.826335689513904,23.826335689513904,23.66958348103026,23.67742156982422,1000,0.0,0.0
2007-04-27 00:00:00+05:30,23.826334297364753,24.86089976964772,23.481479937220012,24.508207321166992,1416,0.0,0.0
2007-04-30 00:00:00+05:30,23.473643847020067,25.080354026866182,23.473643847020067,25.001977920532227,1340,0.0,0.0
2007-05-03 00:00:00+05:30,25.001977920532227,25.001977920532227,25.001977920532227,25.001977920532227,0,0.0,0.0
2007-05-04 00:00:00+05:30,23.94390081120776,25.315482690736847,23.94390081120776,24.139841079711914,1460,0.0,0.0
2007-05-07 00:00:00+05:30,23.669581015036105,23.834171295166016,23.567693046876396,23.834171295166016,800,0.0,0.0
2007-05-08 00:00:00+05:30,23.67742381587553,24.296594619750977,23.67742381587553,24.296594619750977,440,0.0,0.0
2007-05-09 00:00:00+05:30,25.001977920532227,25.001977920532227,25.001977920532227,25.001977920532227,8,0.0,0.0
2007-05-10 00:00:00+05:30,25.001977920532227,25.001977920532227,25.001977920532227,25.001977920532227,0,0.0,0.0
2007-05-11 00:00:00+05:30,24.15551940509249,25.08035659790039,24.15551940509249,25.08035659790039,180,0.0,0.0
2007-05-14 00:00:00+05:30,23.86552416298603,24.759011288747743,23.849847985121347,23.951738357543945,4676,0.0,0.0
2007-05-15 00:00:00+05:30,23.98308687053743,24.139839072305648,23.90471076965332,23.90471076965332,3200,0.0,0.0
2007-05-16 00:00:00+05:30,23.83417732257546,24.92360485517062,23.826339232615936,24.45334815979004,1600,0.0,0.0
2007-05-17 00:00:00+05:30,25.080355746126436,25.080355746126436,23.983090182233404,24.876577377319336,880,0.0,0.0
2007-05-18 00:00:00+05:30,23.82633725468964,24.76685056737476,23.82633725468964,24.563072204589844,1108,0.0,0.0
2007-05-21 00:00:00+05:30,23.779306976948263,24.61009407043457,23.755795104958,24.61009407043457,620,0.0,0.0
2007-05-22 00:00:00+05:30,24.0614633590265,24.84522438049316,24.0614633590265,24.845224380493164,800,0.0,0.0
2007-05-23 00:00:00+05:30,23.68525902546203,24.84522438049316,23.68525902546203,24.845224380493164,400,0.0,0.0
2007-05-24 00:00:00+05:30,23.842011229755364,24.84522438049316,23.842011229755364,24.845224380493164,284,0.0,0.0
2007-05-25 00:00:00+05:30,23.849847985121347,23.95173835754394,23.849847985121347,23.951738357543945,1600,0.0,0.0
2007-05-28 00:00:00+05:30,24.139843641361374,24.218219757080078,24.139843641361374,24.218219757080078,960,0.0,0.0
2007-05-29 00:00:00+05:30,24.445505600981043,24.476855563238857,24.296591486369827,24.398479461669922,1200,0.0,0.0
2007-05-30 00:00:00+05:30,25.080350620160758,25.080350620160758,23.70093085768219,23.920385360717773,13600,0.0,0.0
2007-05-31 00:00:00+05:30,24.296590019674863,24.68847050386317,22.901496452703963,23.98308563232422,9200,0.0,0.0
2007-06-01 00:00:00+05:30,24.29659308035614,24.7668497206211,23.99092674255371,23.99092674255371,6824,0.0,0.0
2007-06-04 00:00:00+05:30,24.296594415154548,24.296594415154548,24.139842193121293,24.147680282592773,8400,0.0,0.0
2007-06-05 00:00:00+05:30,24.445507168273803,24.445507168273803,24.03011476006561,24.33578109741211,4000,0.0,0.0
2007-06-06 00:00:00+05:30,23.920388689203914,24.531721363896906,23.920388689203914,24.33578109741211,2800,0.0,0.0
2007-06-07 00:00:00+05:30,23.66958474905383,24.986302414115894,23.66958474905383,24.155517578125,924,0.0,0.0
2007-06-08 00:00:00+05:30,23.75579739874885,24.218215930046636,23.528507177451516,24.194704055786133,260,0.0,0.0
2007-06-11 00:00:00+05:30,24.61009946410219,25.393860593532196,24.077142852829446,25.150894165039062,18800,0.0,0.0
2007-06-12 00:00:00+05:30,24.61793647849806,25.70736392245166,24.61793647849806,25.699525833129883,1020,0.0,0.0
2007-06-13 00:00:00+05:30,26.491117190165692,26.491117190165692,26.02086067199707,26.02086067199707,400,0.0,0.0
2007-06-14 00:00:00+05:30,26.020866174089605,26.318694408499287,25.871952056884766,25.871952056884766,540,0.0,0.0
2007-06-15 00:00:00+05:30,26.326531363023925,26.663550026230794,25.864112854003906,25.864112854003906,2000,0.0,0.0
2007-06-18 00:00:00+05:30,24.962793554111595,26.020871145887128,24.962793554111595,25.92681884765625,328,0.0,0.0
2007-06-19 00:00:00+05:30,26.632193188876943,27.102449707045565,26.02086067199707,26.02086067199707,3432,0.0,0.0
2007-06-20 00:00:00+05:30,26.647872584672733,26.961376968021824,25.95032581009073,26.93002700805664,5200,0.0,0.0
2007-06-21 00:00:00+05:30,28.215395095031386,28.215395095031386,27.11812973022461,27.11812973022461,9600,0.0,0.0
2007-06-22 00:00:00+05:30,27.11812639921465,27.43163075065066,25.887620863088966,26.318689346313477,1544,0.0,0.0
2007-06-25 00:00:00+05:30,25.25278112124197,27.400285846184953,25.25278112124197,27.314071655273438,1756,0.0,0.0
2007-06-26 00:00:00+05:30,27.118135756615416,27.91757308537093,27.118135756615416,27.713794708251953,1400,0.0,0.0
2007-06-27 00:00:00+05:30,26.663549545388115,27.43163435046156,26.647873369019802,26.922189712524414,2640,0.0,0.0
2007-06-28 00:00:00+05:30,27.43163307759047,28.035129962036894,26.647872132516454,26.655710220336914,1712,0.0,0.0
2007-06-29 00:00:00+05:30,26.9613760671308,27.431632626441218,26.647871694257184,26.726247787475586,6400,0.0,0.0
2007-07-02 00:00:00+05:30,25.942484585635633,26.647869362888567,25.942484585635633,26.02086067199707,2664,0.0,0.0
2007-07-03 00:00:00+05:30,25.57412411070763,26.17762112328344,25.57412411070763,25.88762855529785,1300,0.0,0.0
2007-07-04 00:00:00+05:30,25.50358410038957,25.628986346817175,25.495746011516175,25.6054744720459,1460,0.0,0.0
2007-07-05 00:00:00+05:30,25.260615930670983,25.864112854003906,25.260615930670983,25.864112854003906,1100,0.0,0.0
2007-07-06 00:00:00+05:30,24.531719161524915,25.864112854003906,24.453343061967328,25.864112854003906,560,0.0,0.0
2007-07-09 00:00:00+05:30,25.23710329254712,25.550607681274414,24.923598903819826,25.550607681274414,2400,0.0,0.0
2007-07-10 00:00:00+05:30,25.001977920532227,26.020867302873665,25.001977920532227,25.001977920532227,1200,0.0,0.0
2007-07-11 00:00:00+05:30,24.531723088855983,24.7668514251709,24.531723088855983,24.7668514251709,200,0.0,0.0
2007-07-12 00:00:00+05:30,25.864113807678223,26.64787483215332,25.864113807678223,26.64787483215332,200,0.0,0.0
2007-07-13 00:00:00+05:30,24.94711451123994,26.161944199438754,24.939278813827556,25.57412338256836,5492,0.0,0.0
2007-07-16 00:00:00+05:30,25.558449321747126,26.177620097172728,25.55061123256979,25.723039627075195,1948,0.0,0.0
2007-07-17 00:00:00+05:30,25.284134114421228,25.8249288068163,25.166569946863643,25.433048248291016,3180,0.0,0.0
2007-07-18 00:00:00+05:30,26.334369659423828,26.334369659423828,26.334369659423828,26.334369659423828,200,0.0,0.0
2007-07-19 00:00:00+05:30,24.531719271874184,26.122753143310547,24.531719271874184,26.122753143310547,320,0.0,0.0
2007-07-20 00:00:00+05:30,25.26845932006836,25.26845932006836,25.26845932006836,25.26845932006836,80,0.0,0.0
2007-07-23 00:00:00+05:30,25.550614516016584,25.558452606201175,25.550614516016584,25.558452606201172,264,0.0,0.0
2007-07-24 00:00:00+05:30,24.931440751550614,24.931440751550614,24.610098226277188,24.67279815673828,844,0.0,0.0
2007-07-25 00:00:00+05:30,25.785735171774157,25.864111266521192,25.237102508544922,25.237102508544922,1200,0.0,0.0
2007-07-26 00:00:00+05:30,24.327944263030343,25.393859846049136,24.327944263030343,24.81387710571289,1200,0.0,0.0
2007-07-27 00:00:00+05:30,24.45334386975983,25.237104891226494,24.45334386975983,24.845224380493164,3392,0.0,0.0
2007-07-30 00:00:00+05:30,25.088194687707073,25.088194687707073,25.08035659790039,25.08035659790039,80,0.0,0.0
2007-07-31 00:00:00+05:30,25.15872955322266,25.15872955322266,25.15872955322266,25.158729553222656,400,0.0,0.0
2007-08-01 00:00:00+05:30,25.080355069745842,25.393859508117664,24.77468872070312,24.774688720703125,460,0.0,0.0
2007-08-02 00:00:00+05:30,24.77468872070312,24.77468872070312,24.77468872070312,24.774688720703125,0,0.0,0.0
2007-08-03 00:00:00+05:30,25.0803500035724,25.550606566139383,25.0803500035724,25.542768478393555,720,0.0,0.0
2007-08-06 00:00:00+05:30,25.08819255598907,25.832765579223633,24.821714268148607,25.832765579223633,2800,0.0,0.0
2007-08-07 00:00:00+05:30,25.237102508544922,25.237102508544922,25.237102508544922,25.237102508544922,100,0.0,0.0
2007-08-08 00:00:00+05:30,26.2988575899739,26.2988575899739,26.11917495727539,26.11917495727539,300,1.625,0.0
2007-08-09 00:00:00+05:30,25.16359786223765,25.318776964492443,25.155430016334428,25.188098907470703,1480,0.0,0.0
2007-08-10 00:00:00+05:30,25.972164154052734,26.609216240086045,25.237102904409735,25.972164154052734,1960,0.0,0.0
2007-08-13 00:00:00+05:30,25.972165365354712,25.972165365354712,24.04467083345569,25.849655151367188,964,0.0,0.0
2007-08-14 00:00:00+05:30,25.972165365354712,25.972165365354712,24.04467083345569,25.849655151367188,800,0.0,0.0
2007-08-16 00:00:00+05:30,24.502042770385742,24.502042770385742,24.502042770385742,24.502042770385742,400,0.0,0.0
2007-08-17 00:00:00+05:30,24.510209606361787,26.053837738785088,24.510209606361787,24.992082595825195,1200,0.0,0.0
2007-08-20 00:00:00+05:30,24.33869909567605,24.992086990861985,23.848658174286598,24.983919143676758,1396,0.0,0.0
2007-08-21 00:00:00+05:30,24.338693174292857,25.800647735595703,22.90940750130586,25.800647735595703,1200,0.0,0.0
2007-08-22 00:00:00+05:30,23.358613967895508,23.358613967895508,23.358613967895508,23.358613967895508,80,0.0,0.0
2007-08-23 00:00:00+05:30,25.3187775293986,25.3187775293986,24.502042770385742,24.502042770385742,636,0.0,0.0
