Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-04-07 00:00:00+05:30,15.166890538877938,22.205274956362285,14.74032192327542,21.233646392822266,80469751,0.0,0.0
2004-04-08 00:00:00+05:30,21.328439823471477,21.636518010801986,19.57476774304586,19.859148025512695,32315425,0.0,0.0
2004-04-09 00:00:00+05:30,19.859148025512695,19.859148025512695,19.859148025512695,19.859148025512695,0,0.0,0.0
2004-04-12 00:00:00+05:30,20.025035909384467,22.845130085449025,20.025035909384467,21.35213851928711,28040910,0.0,0.0
2004-04-13 00:00:00+05:30,21.565428689744465,21.660222144493154,20.570101934970168,20.99666976928711,10634390,0.0,0.0
2004-04-14 00:00:00+05:30,20.99666976928711,20.99666976928711,20.99666976928711,20.99666976928711,0,0.0,0.0
2004-04-15 00:00:00+05:30,21.067758150643854,22.46595616079195,20.570094942430913,21.399534225463867,14855262,0.0,0.0
2004-04-16 00:00:00+05:30,21.565424492413428,23.55607942255078,21.565424492413428,23.200605392456055,24501672,0.0,0.0
2004-04-19 00:00:00+05:30,27.963955534175437,29.006679661463416,25.90220699342877,26.162887573242188,44900680,0.0,0.0
2004-04-20 00:00:00+05:30,26.305076045274905,26.470963189013382,24.31442128024184,24.575101852416992,22060587,0.0,0.0
2004-04-21 00:00:00+05:30,24.290729042548318,25.594134015563103,24.0063504989226,25.167564392089844,15790234,0.0,0.0
2004-04-22 00:00:00+05:30,25.499336465751473,25.925906020649663,25.143862439347778,25.357147216796875,8865052,0.0,0.0
2004-04-23 00:00:00+05:30,25.712620894744646,26.873836393533534,24.551405395955754,24.95427703857422,11381727,0.0,0.0
2004-04-27 00:00:00+05:30,24.64619472094857,24.64619472094857,21.589118283377946,22.89252281188965,11682673,0.0,0.0
2004-04-28 00:00:00+05:30,22.868832786676244,23.816763679388213,22.868832786676244,23.342798233032227,11621060,0.0,0.0
2004-04-29 00:00:00+05:30,23.461284416939215,24.38551719497095,22.987319075182867,23.65087127685547,10311209,0.0,0.0
2004-04-30 00:00:00+05:30,23.579779280906507,24.219631864812754,22.91622697993853,23.153209686279297,5897781,0.0,0.0
2004-05-03 00:00:00+05:30,23.224303427449048,23.295398957073377,21.186252671953262,22.465959548950195,7508813,0.0,0.0
2004-05-04 00:00:00+05:30,22.96362259079016,23.793061990193067,22.845131248018316,23.295398712158203,3977170,0.0,0.0
2004-05-05 00:00:00+05:30,23.55607690328256,24.71729230567623,23.29539633736583,24.361818313598633,9787501,0.0,0.0
2004-05-06 00:00:00+05:30,24.83578459257825,25.357145744484782,24.83578459257825,25.02536964416504,6764509,0.0,0.0
2004-05-07 00:00:00+05:30,25.21496264047943,25.262358462902515,23.887859724250983,24.24333381652832,7883664,0.0,0.0
2004-05-10 00:00:00+05:30,24.409212211463323,24.646194854293064,23.224298997314616,24.31441879272461,7733864,0.0,0.0
2004-05-11 00:00:00+05:30,23.53238381967245,24.053745058313687,22.750340153676,22.963624954223633,5132763,0.0,0.0
2004-05-12 00:00:00+05:30,22.93992546147951,23.864156520002727,22.93992546147951,23.366493225097656,4432065,0.0,0.0
2004-05-13 00:00:00+05:30,22.750333166036125,25.475633493217533,21.375833147374493,24.78838348388672,11155675,0.0,0.0
2004-05-14 00:00:00+05:30,24.90687756935222,25.26235156456096,22.27637036641439,22.750335693359375,7219796,0.0,0.0
2004-05-17 00:00:00+05:30,22.987317709583188,22.987317709583188,18.200268765440363,18.911216735839844,4041809,0.0,0.0
2004-05-18 00:00:00+05:30,18.95861750063689,22.086788665028113,18.95861750063689,21.802410125732422,6267961,0.0,0.0
2004-05-19 00:00:00+05:30,23.08210964834134,23.650868349662353,22.086781469021055,22.89252281188965,4259771,0.0,0.0
2004-05-20 00:00:00+05:30,23.224301020304363,23.69826634724935,22.537050934627285,22.750335693359375,3339749,0.0,0.0
2004-05-21 00:00:00+05:30,22.67924548291833,22.67924548291833,21.873505684823073,22.394866943359375,2505232,0.0,0.0
2004-05-24 00:00:00+05:30,22.750333686886783,23.413885809301277,22.67923817090163,22.7977294921875,2307521,0.0,0.0
2004-05-25 00:00:00+05:30,22.726641299673812,22.726641299673812,22.134184549463516,22.300071716308594,1608563,0.0,0.0
2004-05-26 00:00:00+05:30,22.679242626660916,23.3427948794426,22.51335546748271,23.011018753051758,3108672,0.0,0.0
2004-05-27 00:00:00+05:30,22.93992509916652,25.12016512242759,22.56075134900421,24.290725708007812,13057847,0.0,0.0
2004-05-28 00:00:00+05:30,23.982648668362053,25.214959800971254,23.461287448280736,24.764692306518555,11544812,0.0,0.0
2004-05-31 00:00:00+05:30,25.120167691608092,25.120167691608092,22.537055746618826,23.31909942626953,6196845,0.0,0.0
2004-06-01 00:00:00+05:30,23.461288366626018,24.71729745694206,23.3664949207095,24.14853858947754,4610988,0.0,0.0
2004-06-02 00:00:00+05:30,24.480309964748482,24.57510158411599,23.911551208372188,24.124835968017578,1507650,0.0,0.0
2004-06-03 00:00:00+05:30,24.456608107098543,24.598799139748557,23.082109858432457,23.4849796295166,2781782,0.0,0.0
2004-06-04 00:00:00+05:30,23.36649504331774,24.456615156991283,23.12951233130025,24.05374526977539,3211996,0.0,0.0
2004-06-07 00:00:00+05:30,24.361817935946508,24.575100881459424,23.74566157946949,23.864152908325195,1456186,0.0,0.0
2004-06-08 00:00:00+05:30,24.17223027462623,24.219626081362826,23.579773650248136,23.74566078186035,1203583,0.0,0.0
2004-06-09 00:00:00+05:30,23.91155470118675,24.006348142435193,23.53238274422747,23.627174377441406,1095114,0.0,0.0
2004-06-10 00:00:00+05:30,23.650868564930256,23.935247014162112,23.41388592122568,23.4849796295166,666448,0.0,0.0
2004-06-11 00:00:00+05:30,23.532377243077967,24.338116785246257,23.342790404900672,23.4849796295166,2121171,0.0,0.0
2004-06-14 00:00:00+05:30,23.579778010923963,23.698269357712526,22.916225745694227,23.366493225097656,1202179,0.0,0.0
2004-06-15 00:00:00+05:30,23.484979722560727,23.79305788381087,22.51335124112933,22.655540466308594,1668123,0.0,0.0
2004-06-16 00:00:00+05:30,22.987317549620624,23.271696012587828,22.51335223931917,22.63184356689453,725899,0.0,0.0
2004-06-17 00:00:00+05:30,22.91622338118686,22.91622338118686,22.086784039248887,22.323766708374023,1229544,0.0,0.0
2004-06-18 00:00:00+05:30,22.513359206728513,22.560755029213,21.4706348397573,21.826108932495117,1397698,0.0,0.0
